2026-05-08 10:43:57.134 INFO  [core-1] c.e.d.service.KWhDifferenceService - 📢 Publicando datos actualizados para ServicioAux: {fecha=08-05-2026 10:43:44, VAB=212.55274963378906, VBC=211.606201171875, PF=0.4283393621444702, PW=9.21849250793457, IA=55.534000396728516, VAC=212.77491760253906, IB=61.6524772644043, IC=58.42353820800781, KWh=39166.83984375}
2026-05-08 10:43:57.134 INFO  [core-1] c.e.d.controller.KWhStreamController - 🔔 Evento de datos recibido para: ServicioAux | Clientes conectados: 0
2026-05-08 10:43:57.134 WARN  [core-1] c.e.d.controller.KWhStreamController - ⚠️ No hay clientes conectados para ServicioAux
2026-05-08 10:43:57.189 INFO  [core-1] c.e.d.service.KWhDifferenceService - 📢 Publicando datos actualizados para Ribloc: {fecha=08-05-2026 10:43:44, VAB=209.39984130859375, VBC=208.5313720703125, PF=0.567006528377533, PW=8.087332725524902, IA=38.15803909301758, VAC=208.2168731689453, IB=43.45294189453125, IC=36.27312469482422, KWh=32653.99609375}
2026-05-08 10:43:57.189 INFO  [core-1] c.e.d.controller.KWhStreamController - 🔔 Evento de datos recibido para: Ribloc | Clientes conectados: 0
2026-05-08 10:43:57.189 WARN  [core-1] c.e.d.controller.KWhStreamController - ⚠️ No hay clientes conectados para Ribloc
2026-05-08 10:43:57.206 INFO  [core-1] c.e.d.service.KWhDifferenceService - 📢 Publicando datos actualizados para Sauer: {fecha=08-05-2026 10:43:44, VAB=442.1661376953125, VBC=445.09423828125, PF=0.9458546042442322, PW=39.7652473449707, IA=54.17278289794922, VAC=444.6084899902344, IB=54.18415832519531, IC=56.37113952636719, KWh=30148.30078125}
2026-05-08 10:43:57.206 INFO  [core-1] c.e.d.controller.KWhStreamController - 🔔 Evento de datos recibido para: Sauer | Clientes conectados: 0
2026-05-08 10:43:57.206 WARN  [core-1] c.e.d.controller.KWhStreamController - ⚠️ No hay clientes conectados para Sauer
2026-05-08 10:43:57.206 INFO  [core-1] c.e.d.s.PLCDataAcquisitionService - Reading PLC: PLC2 (192.168.0.2)
2026-05-08 10:43:57.429 INFO  [core-1] c.e.d.service.KWhDifferenceService - ⏳ KWh Linea01 - Primer dato (esperando próximo ciclo): 568342.5625
2026-05-08 10:43:57.429 INFO  [core-1] c.e.d.service.KWhDifferenceService - ⏳ KWh Linea02 - Primer dato (esperando próximo ciclo): 444937
2026-05-08 10:43:57.431 INFO  [core-1] c.e.d.service.KWhDifferenceService - ⏳ KWh Linea05 - Primer dato (esperando próximo ciclo): 512949.40625
2026-05-08 10:43:57.431 INFO  [core-1] c.e.d.service.KWhDifferenceService - ⏳ KWh Linea08 - Primer dato (esperando próximo ciclo): 416723
2026-05-08 10:43:57.431 INFO  [core-1] c.e.d.service.KWhDifferenceService - ⏳ KWh Linea10 - Primer dato (esperando próximo ciclo): 524892.8125
2026-05-08 10:43:57.431 INFO  [core-1] c.e.d.service.KWhDifferenceService - ⏳ KWh Linea17 - Primer dato (esperando próximo ciclo): 316055.21875
2026-05-08 10:43:57.432 INFO  [core-1] c.e.d.service.KWhDifferenceService - ⏳ KWh Linea31 - Primer dato (esperando próximo ciclo): 192984.65625
2026-05-08 10:43:57.432 INFO  [core-1] c.e.d.service.KWhDifferenceService - ⏳ KWh Linea32 - Primer dato (esperando próximo ciclo): 176414.234375
2026-05-08 10:43:57.432 INFO  [core-1] c.e.d.service.KWhDifferenceService - ⏳ KWh Chiller1 - Primer dato (esperando próximo ciclo): 23040.404296875
2026-05-08 10:43:57.432 INFO  [core-1] c.e.d.service.KWhDifferenceService - ⏳ KWh Chiller5 - Primer dato (esperando próximo ciclo): 6388766.5
2026-05-08 10:43:57.433 INFO  [core-1] c.e.d.service.KWhDifferenceService - ⏳ KWh Chiller6 - Primer dato (esperando próximo ciclo): 1230274.125
2026-05-08 10:43:57.433 INFO  [core-1] c.e.d.service.KWhDifferenceService - ⏳ KWh GA751 - Primer dato (esperando próximo ciclo): 301646.4375
2026-05-08 10:43:57.433 INFO  [core-1] c.e.d.service.KWhDifferenceService - ⏳ KWh OrientadoraL1 - Primer dato (esperando próximo ciclo): 4873848.5
2026-05-08 10:43:57.434 INFO  [core-1] c.e.d.service.KWhDifferenceService - ⏳ KWh CompAP - Primer dato (esperando próximo ciclo): 143386.4375
2026-05-08 10:43:57.434 INFO  [core-1] c.e.d.service.KWhDifferenceService - ⏳ KWh Trafo1 - Primer dato (esperando próximo ciclo): 205832.890625
2026-05-08 10:43:57.434 INFO  [core-1] c.e.d.service.KWhDifferenceService - ⏳ KWh Trafo2 - Primer dato (esperando próximo ciclo): 192472.546875
2026-05-08 10:43:57.434 INFO  [core-1] c.e.d.service.KWhDifferenceService - ⏳ KWh Inyeccion - Primer dato (esperando próximo ciclo): 257834.234375
2026-05-08 10:43:57.435 INFO  [core-1] c.e.d.service.KWhDifferenceService - ⏳ KWh BombasCisterna - Primer dato (esperando próximo ciclo): 119077.96875
2026-05-08 10:43:57.460 INFO  [core-1] c.e.d.service.LecturaRepository - DEV MODE: salteando insert de 180 lecturas (persist-readings=false)
2026-05-08 10:43:57.626 INFO  [core-1] c.e.d.service.KWhDifferenceService - 📢 Publicando datos actualizados para Linea01: {fecha=08-05-2026 10:43:45, VAB=444.7516784667969, VBC=442.6224670410156, PF=0.9106432199478149, PW=74.48617553710938, IA=118.9132308959961, VAC=444.7605285644531, IB=64.1220474243164, IC=134.35458374023438, KWh=568342.0}
2026-05-08 10:43:57.627 INFO  [core-1] c.e.d.controller.KWhStreamController - 🔔 Evento de datos recibido para: Linea01 | Clientes conectados: 0
2026-05-08 10:43:57.627 WARN  [core-1] c.e.d.controller.KWhStreamController - ⚠️ No hay clientes conectados para Linea01
2026-05-08 10:43:57.744 INFO  [core-1] c.e.d.service.KWhDifferenceService - 📢 Publicando datos actualizados para Linea02: {fecha=08-05-2026 10:43:45, VAB=443.6260681152344, VBC=441.8993835449219, PF=0.8471159338951111, PW=60.936302185058594, IA=93.88550567626953, VAC=443.84783935546875, IB=103.15541076660156, IC=88.42138671875, KWh=444936.4375}
2026-05-08 10:43:57.745 INFO  [core-1] c.e.d.controller.KWhStreamController - 🔔 Evento de datos recibido para: Linea02 | Clientes conectados: 0
2026-05-08 10:43:57.745 WARN  [core-1] c.e.d.controller.KWhStreamController - ⚠️ No hay clientes conectados para Linea02
2026-05-08 10:43:57.796 INFO  [core-1] c.e.d.service.KWhDifferenceService - 📢 Publicando datos actualizados para Linea05: {fecha=08-05-2026 10:43:45, VAB=443.9252624511719, VBC=442.1714782714844, PF=0.8195721507072449, PW=60.40266799926758, IA=95.4262924194336, VAC=444.1518249511719, IB=99.22370910644531, IC=93.43022155761719, KWh=512948.96875}
2026-05-08 10:43:57.797 INFO  [core-1] c.e.d.controller.KWhStreamController - 🔔 Evento de datos recibido para: Linea05 | Clientes conectados: 0
2026-05-08 10:43:57.797 WARN  [core-1] c.e.d.controller.KWhStreamController - ⚠️ No hay clientes conectados para Linea05
